state,births,fertility_rate,deaths,death_rate
Alabama,58448,60.9,48681,1013.6
Alaska,11187,75.9,3849,532.6
Arizona,86441,67.5,48381,746.3
Arkansas,38347,67.0,29653,1009.3
California,503755,63.3,239942,636.6
Colorado,65187,62.0,32563,636.4
Connecticut,36359,53.2,29526,824.6
Delaware,11023,61.4,7845,864.8
District of Columbia,9399,55.3,4589,742.6
Florida,213148,59.0,173976,912.9
Georgia,130280,62.4,71248,725.9
Hawaii,18980,71.6,9923,721.8
Idaho,22963,74.1,12027,758.8
Illinois,159160,60.9,101906,791.9
Indiana,83227,64.7,58202,893.1
Iowa,38702,66.8,28184,920.4
Kansas,40341,72.3,25116,874.7
Kentucky,55758,65.4,42626,975.6
Louisiana,62642,67.0,40890,893.8
Maine,12798,53.9,13007,978.9
Maryland,72883,60.8,43745,750.6
Massachusetts,72439,53.5,53710,815.3
Michigan,113091,59.6,89508,906.3
Minnesota,68772,65.7,39820,745.0
Mississippi,38669,64.2,29278,983.0
Missouri,75446,64.3,55848,929.1
Montana,12118,66.6,9115,913.1
Nebraska,25942,72.3,15476,839.9
Nevada,34911,63.0,20343,747.0
New Hampshire,12352,50.3,10823,821.0
New Jersey,104230,60.4,70558,799.9
New Mexico,27068,67.8,16452,790.1
New York,240916,59.7,149174,766.4
North Carolina,119831,61.0,79882,827.2
North Dakota,10106,74.6,5965,872.2
Ohio,138483,62.6,111427,965.2
Oklahoma,52751,70.5,37175,980.5
Oregon,45067,59.0,32788,846.8
Pennsylvania,142514,58.8,128237,1006.3
Rhode Island,10926,51.7,9581,911.3
South Carolina,57155,61.4,42072,899.1
South Dakota,12104,78.1,7314,887.5
Tennessee,80371,62.6,60541,945.5
Texas,382727,69.9,168640,656.8
Utah,51465,83.1,15266,541.9
Vermont,6009,51.6,5433,867.3
Virginia,103013,61.7,60804,751.0
Washington,87463,63.5,49691,727.5
West Virginia,20827,61.3,21867,1178.6
Wisconsin,67295,61.8,48410,847.5
Wyoming,7572,69.5,4387,772.1
Puerto Rico,38900,51.8,29758,802.8

