fipst,stab,state,workers1994,workers1995,workers1996,workers1997,workers1998,workers1999,workers2000,workers2001,workers2002,workers2003,workers2004,workers2005,workers2006,workers2007,workers2008,workers2009,workers2010,workers2011,workers2012,workers2013,share_cut1994,share_cut1995,share_cut1996,share_cut1997,share_cut1998,share_cut1999,share_cut2000,share_cut2001,share_cut2002,share_cut2003,share_cut2004,share_cut2005,share_cut2006,share_cut2007,share_cut2008,share_cut2009,share_cut2010,share_cut2011,share_cut2012,share_cut2013,avgshare,avgshare94_00,avgshare01_07,avgshare08_12
37,NC,North Carolina,3831,2631,8716,12324,9428,12414,4790,12596,19564,21126,11435,13167,10602,14815,11767,11533,12746,4120,2953,3301,1.4,0.9,3.0,4.1,3.0,3.9,1.5,3.8,6.1,6.7,3.6,4.1,3.2,4.3,3.4,3.5,4.1,1.3,0.9,1.0,3.56,2.53,4.56,2.64
01,AL,Alabama,1504,3527,7627,6858,5340,8697,3919,4400,9895,3285,3156,1895,5358,4156,6377,6661,5306,571,1033,834,1.1,2.4,5.2,4.6,3.5,5.6,2.5,2.8,6.5,2.2,2.1,1.2,3.3,2.6,3.9,4.3,3.6,0.4,0.7,0.6,3.22,3.55,2.95,2.58
28,MS,Mississippi,1613,3344,4454,1938,3108,6143,2839,3292,4796,3785,1350,1345,1807,2246,3366,3262,473,77,386,226,2.0,3.9,5.1,2.2,3.4,6.7,3.1,3.6,5.4,4.3,1.5,1.5,2.0,2.5,3.7,3.7,0.6,0.1,0.5,0.3,2.94,3.77,2.99,1.71
05,AR,Arkansas,1376,1107,1473,2426,2559,2653,604,3041,3741,3417,1093,2223,3781,4905,3220,2891,3088,2239,3769,507,1.6,1.3,1.6,2.7,2.7,2.8,0.6,3.1,3.9,3.6,1.1,2.3,3.8,4.9,3.2,3.0,3.3,2.4,3.9,0.5,2.89,1.91,3.27,3.16
47,TN,Tennessee,3210,4149,7297,7544,7435,5706,5107,7104,8137,7528,2673,6156,4849,8254,7262,7647,7938,7100,2108,2606,1.6,2.0,3.4,3.5,3.3,2.5,2.2,3.1,3.6,3.3,1.2,2.7,2.1,3.5,3.0,3.4,3.7,3.2,0.9,1.1,2.86,2.64,2.77,2.85
45,SC,South Carolina,1991,1289,3422,975,3922,1739,2427,6296,6585,5690,4623,5913,5270,3473,4479,5846,2575,1513,1864,1321,1.5,1.0,2.5,0.7,2.7,1.2,1.6,4.1,4.5,3.9,3.1,3.9,3.4,2.2,2.8,3.9,1.8,1.0,1.2,0.9,2.61,1.60,3.57,2.14
23,ME,Maine,971,855,1540,792,2358,742,1091,1683,2486,2353,870,602,678,576,1591,1551,1162,1128,352,763,2.3,1.9,3.5,1.7,5.0,1.5,2.2,3.3,5.0,4.7,1.7,1.2,1.3,1.1,3.1,3.1,2.4,2.3,0.7,1.5,2.58,2.59,2.61,2.31
26,MI,Michigan,932,1388,4036,3491,2011,2343,7113,3102,7809,11947,5610,5142,9401,14224,15434,25782,29822,3817,1718,2977,0.3,0.4,1.1,0.9,0.5,0.6,1.8,0.8,2.1,3.2,1.5,1.4,2.5,3.9,4.3,7.8,9.3,1.2,0.5,0.9,2.55,0.80,2.20,4.62
41,OR,Oregon,426,760,1608,976,2390,1364,4912,2090,7802,3310,4713,1350,1054,1523,3224,9457,4543,1430,1775,2048,0.4,0.7,1.3,0.8,1.9,1.0,3.7,1.5,6.0,2.5,3.6,1.0,0.8,1.1,2.2,7.0,3.5,1.1,1.3,1.5,2.38,1.39,2.37,3.03
21,KY,Kentucky,3222,1334,4299,2560,2126,3884,2801,3621,4271,3568,2294,3171,2307,3716,3357,5805,4557,2163,1649,971,2.5,1.0,3.1,1.8,1.5,2.6,1.8,2.4,2.9,2.4,1.6,2.1,1.5,2.4,2.2,3.9,3.2,1.5,1.1,0.6,2.24,2.06,2.19,2.38
18,IN,Indiana,850,1685,2598,3634,3071,2933,1943,3220,10193,5972,4705,5821,5473,5145,8908,7503,10017,3804,2178,1733,0.4,0.7,1.1,1.5,1.2,1.2,0.7,1.3,4.1,2.4,1.9,2.3,2.1,2.0,3.5,3.1,4.3,1.6,0.9,0.7,2.07,0.97,2.30,2.67
02,AK,Alaska,614,100,250,500,261,1684,42,0,260,2843,230,484,,140,0,3,0,0,,95,3.4,0.5,1.3,2.6,1.3,8.3,0.2,0.0,1.2,13.2,1.0,2.1,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.4,1.88,2.52,2.60,0.00
42,PA,Pennsylvania,6690,6411,8959,7831,6922,6340,6812,17945,13839,13851,5746,7358,4691,8292,5030,13046,11882,4639,5288,4245,1.5,1.4,2.0,1.7,1.5,1.3,1.4,3.6,2.8,2.8,1.2,1.5,0.9,1.6,1.0,2.6,2.5,0.9,1.1,0.8,1.79,1.53,2.07,1.62
55,WI,Wisconsin,1769,1932,3560,1308,1256,4449,2066,4508,6343,7143,3041,2602,3320,3295,5063,7125,8268,3567,2777,949,0.8,0.9,1.6,0.6,0.5,1.9,0.9,1.9,2.7,3.0,1.3,1.1,1.4,1.3,2.1,3.0,3.6,1.5,1.2,0.4,1.73,1.03,1.80,2.27
